City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,san jose de guanipa,8.8872,-64.1651,32.96,35,4,5.03,VE,1701455015
317,kuala belait,4.5833,114.1833,24.09,91,87,1.45,BN,1701455016
318,erbil,36.1926,44.0106,12.7,44,0,1.31,IQ,1701454908
319,inhambane,-23.865,35.3833,21.31,63,0,3.83,MZ,1701455017
320,ola,59.5833,151.2833,-11.03,73,100,5.99,RU,1701455018
321,viedma,-40.8135,-62.9967,31.7,13,14,9.77,AR,1701455018
322,sangolqui,-0.3341,-78.4522,21.27,54,77,1.61,EC,1701455019
323,al qitena,14.8648,32.3668,30.6,22,14,5.11,SD,1701455020
324,usinsk,65.9939,57.5281,-7.18,91,100,2.68,RU,1701455020
325,klyuchi,52.2667,79.1667,-1.69,82,100,7.16,RU,1701455020
326,fortuna,40.5982,-124.1573,10.19,96,100,7.2,US,1701455021
327,grand falls-windsor,48.9332,-55.6649,2.5,90,100,2.68,CA,1701454833
328,kolonia,50.9333,6.95,0.54,72,100,4.63,DE,1701455022
329,sumbe,-11.2061,13.8437,25.98,82,39,1.7,AO,1701455022
330,la passe,45.5549,-0.8967,6.13,89,100,5.18,FR,1701455023
331,moussoro,13.6408,16.4901,30.31,13,19,4.13,TD,1701455024
332,vryburg,-26.9566,24.7284,27.72,21,0,4.1,ZA,1701455024
333,marsh harbour,26.5412,-77.0636,25.16,82,22,7.68,BS,1701455025
334,pampa,35.5362,-100.9599,4.9,81,0,2.06,US,1701454791
335,tailai,46.3833,123.4,-14.42,94,72,0.55,CN,1701455026
336,fuengirola,36.54,-4.6247,14.36,58,20,8.23,ES,1701454764
337,taroa,8.7058,171.2275,27.88,76,80,8.75,MH,1701455027
338,viru,-8.4167,-78.75,26.36,58,80,5.47,PE,1701455028
339,odda,60.0691,6.5457,-2.35,75,20,2.03,NO,1701455028
340,bykhaw,53.5193,30.2469,-11.34,100,83,1.93,BY,1701455029
341,kosong,38.3788,128.4676,-0.73,54,0,4.16,KR,1701455029
342,zhoucun,36.8167,117.8167,-0.52,33,0,2.53,CN,1701455031
343,mahajanga,-15.7167,46.3167,27.01,78,40,1.03,MG,1701455031
344,uusikaupunki,60.8004,21.4084,-7.12,89,97,3.92,FI,1701455032
345,jining,35.405,116.5814,-0.36,34,0,3.02,CN,1701455032
346,taoudenni,22.6783,-3.9836,24.4,11,66,0.81,ML,1701455033
347,san patricio,28.017,-97.5169,21.04,88,100,2.44,US,1701455034
348,ventspils,57.3894,21.5606,-3.04,100,100,1.54,LV,1701455034
349,mirpur sakro,24.5474,67.6277,22.94,35,0,4.13,PK,1701455035
350,lautoka,-17.6167,177.4667,24.92,78,20,2.57,FJ,1701455036
351,salyan,39.5936,48.9805,13.7,81,39,4.1,AZ,1701455036
352,punta del este,-34.9667,-54.95,22.06,94,75,5.66,UY,1701455037
353,say,13.1007,2.3689,35.31,15,14,4.16,NE,1701455038
354,palu,-0.8917,119.8707,24.13,96,54,1.21,ID,1701455038
355,qamdo,31.1667,97.2333,-5.44,49,88,2.01,CN,1701455039
356,nelson bay,-32.7167,152.15,20.61,96,100,3.13,AU,1701455039
357,tartagal,-22.5164,-63.8013,40.16,26,47,4.19,AR,1701455040
358,kangding,30.0513,101.9603,4.35,62,67,1.48,CN,1701455040
359,timbiqui,2.7717,-77.6654,28.53,77,75,2.55,CO,1701455041
360,kuanda,56.3161,116.0806,-20.68,97,97,0.47,RU,1701455041
361,selfoss,63.9331,-20.9971,-3.31,62,4,5.35,IS,1701455042
362,hirara,24.8,125.2833,18.15,88,75,8.23,JP,1701455042
363,queenstown,-31.8976,26.8753,21.13,33,1,1.54,ZA,1701454911
